Name,Play Number,QB Comment,Series,Down,Distance,Field Position,Gain,Personnel,The_Play,Formation,Motion,Play,Run Concept,Pass Concept,R/P,Pass Result,QB#,J#,EFF
"09 NCCR OFF vs. OKTU (11/04/23), Play 070",70,TOUCHDOWN,12,1,10,-41,0,11,TRAIN RT OFF JILL H-DRIVE DANCER,TRAIN,,JILL H-DRIVE DANCER,,DRIVE-H DANCER,P,DROP,11,3,N
"09 NCCR OFF vs. OKTU (11/04/23), Play 071",71,TOUCHDOWN,12,2,10,-41,6,11,DUAL LT CLASSY LOAD H-RAILROAD,DUAL,,LOAD H-RAILROAD,,RAILROAD-H,P,C,11,10,Y
"09 NCCR OFF vs. OKTU (11/04/23), Play 072",72,TOUCHDOWN,12,3,4,-47,35,11,DUAL LT NASTY JILL Z-DRIVE SMASH,DUAL,,JILL Z-DRIVE SMASH,,DRIVE-Z SMASH,P,C,11,19,Y
"09 NCCR OFF vs. OKTU (11/04/23), Play 073",73,TOUCHDOWN,12,1,10,18,0,11,DUAL RT OFF ROCK Y-DELAY ANKLE,DUAL,,ROCK Y-DELAY ANKLE,,DELAY-Y ANKLE,P,I,11,10,N
"09 NCCR OFF vs. OKTU (11/04/23), Play 074",74,TOUCHDOWN,12,2,10,18,18,11,ZAC DUAL RT CLASSY F-JACK CLIPPER DRACO,DUAL,AC-Z,F-JACK CLIPPER DRACO,,CLIPPER DRACO,P,C,11,19,Y
"09 NCCR OFF vs. OKTU (11/04/23), Play 075",75,,12,5,3,3,3,12,TAZER RT BUNCH FLY ROCK H-DANGLE X-BOW,TAZER,,ROCK H-DANGLE X-BOW,,DANGLE-H BOW,P,C,11,18,Y
"09 NCCR OFF vs. OKTU (11/04/23), Play 076",76,END OF HALF,13,0,10,-25,-2,22-Z,VICTORY,VICTORY,,VICTORY,VICTORY,,R,,11,11,
"09 NCCR OFF vs. OKTU (11/04/23), Play 077",77,TOUCHDOWN,14,0,10,25,20,11,FIB DOUBLE RT OFF BEETLE X-POP,DOUBLE,,BEETLE X-POP,BEETLE-SPIDER,,P,C,11,3,Y
"09 NCCR OFF vs. OKTU (11/04/23), Play 078",78,TOUCHDOWN,14,1,5,5,4,11,BUMP DUAL LT CLASSY LOAD H-RAILROAD,DUAL,,LOAD H-RAILROAD,,RAILROAD-H,P,C,11,21,Y
"09 NCCR OFF vs. OKTU (11/04/23), Play 079",79,TOUCHDOWN,14,2,1,1,1,11,(P) TRAIN RT OFF THURSDAY Y-IN JORDAN,TRAIN,IN-Y,JORDAN,JORDAN,,R,,11,11,Y
"11 NCCR OFF vs. TXRI (11/18/23), Play 001",1,,1,0,10,-25,0,21,SHORTY FRISCO LT LEECH CUT HERO,FRISCO,SHORTY,LEECH CUT HERO,ROACH-LEECH CUT,HERO,P,DROP,11,10,
"11 NCCR OFF vs. TXRI (11/18/23), Play 002",2,,1,2,10,-25,-3,21,FIB FLEX RT H-PLANE N. TAXI,FLEX,PLANE-H,N. TAXI,TAXI,,R,,11,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 003",3,,1,3,13,-22,-1,11,ZAC DUAL RT NASTY JACK Z-DRIVE STAR,DUAL,AC-Z,JACK Z-DRIVE STAR,,DRIVE-Z STAR,P,C,11,10,
"11 NCCR OFF vs. TXRI (11/18/23), Play 004",4,,2,0,10,-25,1,21,HOPPY DEUCE LT SLOT BENGAL HERO,DEUCE,HOPPY,BENGAL HERO,BENGAL-TIGER,HERO,R,,11,38,
"11 NCCR OFF vs. TXRI (11/18/23), Play 005",5,,2,2,9,-26,0,21,HOPPY DEUCE RT OFF SPIDER CUT X-POP H-RAIL,DEUCE,HOPPY,SPIDER CUT X-POP H-RAIL,BEETLE-SPIDER CUT,,P,I,11,18,
